市场代码,市场,2026成交价,广播商数量,广播商列表,合同结构,人口规模,总GDP,人均GDP,球迷数量,历史收视热度,足球热度指数,体育媒体市场规模,历史转播权价格,历史价格年份,历史价格是否插补,是否参赛,赛程时段因子,主要竞购方数量
United_States,美国,945.0,2,Fox_Sports、Telemundo,2026_single,340.0,29180,85784,62.2,23.39,0.45210688320319437,30.0,512.5,2022,0,1,0.8200000000000001,4
Japan,日本,200.0,1,NTT_Docomo_DAZN_Dentsu,2026_single,124.0,4200,32513,18.0,62.37,0.3854274733186398,4.2,200.0,2022,0,1,0.475,3
United_Kingdom,英国,188.69916387545555,1,BBC_ITV,2026_2030_package,69.1,3640,52580,26.1,94.74499999999999,0.8704083217896714,5.0,100.0,2022,0,1,0.78,3
Germany,德国,144.69685618587047,2,ARD_ZDF、MagentaTV,2026_2030_package、2026_single,84.6,4680,54986,29.1,34.25,0.7780014761008509,2.8,96.0,2022,0,1,0.73,3
South_Korea,韩国,125.0,1,JTBC,2026_single,51.7,1870,36239,17.0,11.14,0.4390034595307656,2.0,90.0,2022,0,1,0.475,2
Brazil,巴西,110.0,1,Globo_CazeTV,2026_single,212.0,2170,10280,86.4,209.9,0.9891304347826086,1.8,110.0,2022,0,1,0.9,3
Hong_Kong,中国香港,25.0,1,PCCW,2026_single,7.5,400,54082,4.0,2.8120000000000003,0.3031620553359684,0.5,15.0,2022,0,0,0.45999999999999996,2
Australia,澳大利亚,15.0,1,SBS,2026_single,27.0,1830,65890,6.1,4.38895,0.08973140543870692,1.2,10.0,2022,0,1,0.48999999999999994,1
Vietnam,越南,15.0,1,VTV,2026_single,101.0,475,4700,75.0,53.55,0.6000405264808979,0.3,8.0,2022,0,0,0.48,1
