市场,市场层级,实际成交价,预测成交价,实际基准价格,预测基准价格,绝对误差,相对误差,参考市场数量,结构价值弹性系数alpha,GDP对数敏感系数gamma1,人口对数敏感系数gamma2,层级溢价强度eta,参考市场,保守报价,基准报价,进取报价
英国,A,188.69916387545555,185.6248473935765,102.28724010937039,100.62076029199446,3.074316481879066,0.016292157414688726,2,0.4,0.05,0.05,0.3,德国、日本,135.57459524844592,185.6248473935765,235.67509953870706
韩国,A,125.0,129.4687550683222,79.50371595631894,82.34597702536094,4.468755068322196,0.035750040546577565,2,0.4,0.05,0.05,0.3,日本、德国,94.55993802646148,129.4687550683222,164.3775721101829
日本,A,200.0,163.11996513555573,120.18726357625319,98.02471122148134,36.88003486444427,0.18440017432222133,2,0.4,0.05,0.05,0.3,韩国、英国,119.13773161684419,163.11996513555573,207.10219865426726
巴西,B,110.0,134.20120293879114,77.50106251964878,94.55214381064843,24.20120293879114,0.2200109358071922,2,0.4,0.05,0.05,0.3,英国、德国,98.01637025297707,134.20120293879114,170.3860356246052
德国,A,144.69685618587047,177.53446492641706,79.71534777017658,97.8060061969992,32.837608740546585,0.22694072011049782,2,0.4,0.05,0.05,0.3,英国、韩国,129.66563239249467,177.53446492641706,225.40329746033945
越南,D,15.0,18.846274268940924,28.760949426396515,36.135782741667185,3.846274268940924,0.2564182845960616,2,0.4,0.05,0.05,0.3,中国香港、澳大利亚,13.76473054027833,18.846274268940924,23.92781799760352
中国香港,C,25.0,13.6042615294622,32.19479746298731,17.51945778298182,11.3957384705378,0.455829538821512,2,0.4,0.05,0.05,0.3,澳大利亚、越南,9.936128036782787,13.6042615294622,17.272395022141612
澳大利亚,C,15.0,24.233907294626878,19.20915302977059,31.034188915450766,9.233907294626878,0.6155938196417918,2,0.4,0.05,0.05,0.3,中国香港、越南,17.699689556060445,24.233907294626878,30.76812503319331
美国,S,945.0,357.91845183867304,360.5565274097137,136.5606709955691,587.081548161327,0.6212503155146317,2,0.4,0.05,0.05,0.3,日本、韩国,261.4124667108422,357.91845183867304,454.4244369665039
