参考市场数量k,结构价格弹性系数alpha,GDP对数敏感系数gamma1,人口对数敏感系数gamma2,层级溢价强度eta,平均相对误差,中位相对误差,最大相对误差
4,0.9,0.3,0.05,0.3,0.5365253846459401,0.5343319484775225,1.1908604628213482
4,0.6,0.05,0.05,0.2,0.5366059309686843,0.5952923252526162,1.0649866964600607
4,0.5,0.15,0.15,0.25,0.5366656932060181,0.6725716217427705,1.0856891483924045
2,1.1,0.15,0.05,0.25,0.5367068213028917,0.39294460812452225,1.0324592623701114
3,0.7,0.25,0.15,0.3,0.5367432438539156,0.5193203909331211,1.190330930620696
2,1.3,0.05,0.05,0.3,0.5368094501171016,0.44246886095188925,1.1329053711019115
4,1.0,0.15,0.05,0.25,0.5369110274825376,0.6490680959271594,0.9635133024587245
3,0.8,0.05,0.05,0.25,0.5370555911520921,0.5889389947760152,1.107622467464905
3,0.7,0.3,0.15,0.3,0.5370662929014824,0.4695099762560623,1.284686049060618
4,0.8,0.2,0.05,0.2,0.5370974181592947,0.6484885596199487,1.0428704087740512
3,0.5,0.25,0.1,0.2,0.5371726649080841,0.56003852488596,1.2863350744853468
4,0.7,0.3,0.1,0.3,0.5372728549725667,0.5508450053944043,1.284622613042579
2,0.5,0.2,0.15,0.25,0.5373842918524893,0.44240094699198124,1.3440527433040033
3,0.6,0.2,0.05,0.15,0.5374087128864766,0.5957952348056739,1.1508485506977721
2,0.6,0.3,0.1,0.25,0.5374412353480271,0.3433848566213704,1.5255421386064378
4,0.7,0.1,0.1,0.2,0.5374968620029258,0.6245589284771175,0.9466224822988042
2,0.6,0.25,0.1,0.2,0.5376340486328123,0.4003960598297482,1.376202781913806
2,0.8,0.2,0.1,0.25,0.5379049778694789,0.38685776364651964,1.247794838903599
2,0.4,0.25,0.15,0.25,0.538053034401284,0.3936702578135649,1.4866210727015219
4,0.7,0.25,0.05,0.2,0.5381533085143241,0.5783305296094682,1.1847191444956242
3,0.5,0.05,0.05,0.2,0.5382046854332034,0.5087858445562518,1.1232449832239315
4,1.0,0.1,0.1,0.3,0.5382740438093767,0.6723940195372756,0.9546676041353905
3,0.5,0.15,0.2,0.3,0.5382842414496292,0.6466898565456719,1.0745968896919373
2,1.0,0.15,0.1,0.3,0.5384676987099543,0.3723677107368329,1.1217347569399945
2,1.1,0.2,0.05,0.25,0.5384890734447485,0.3437158825054663,1.1522417395760371
3,0.7,0.1,0.1,0.25,0.5385108498743197,0.6246739287703423,0.9400040197797251
4,0.5,0.2,0.1,0.2,0.5385629761178198,0.584544357776173,1.19390785228221
2,0.5,0.05,0.2,0.3,0.5385781319524727,0.5166427191569299,1.0372014615359788
3,1.0,0.3,0.1,0.3,0.5387753087015646,0.4543004138235858,1.1661286985695207
4,0.5,0.25,0.05,0.15,0.5387921622935462,0.5208496938363407,1.3046987357428614
3,1.0,0.25,0.1,0.3,0.538893230035201,0.5061185305466924,1.0729663452467166
2,1.3,0.1,0.05,0.3,0.5389276955154941,0.38837786393509444,1.099706187033231
3,0.5,0.2,0.15,0.25,0.5389423682407952,0.6118470096581591,1.179517015226755
3,0.6,0.25,0.05,0.15,0.5389633556631683,0.568698742471374,1.2416956909657073
4,0.9,0.15,0.05,0.2,0.5389656702792318,0.6323811720308585,0.978033402535979
3,1.0,0.2,0.1,0.3,0.5390111513688371,0.5579366472697994,0.9798039919239119
3,1.0,0.15,0.1,0.3,0.5391290727024735,0.609754763992906,0.926128944707452
4,0.5,0.1,0.05,0.15,0.539175895103823,0.5603806751931738,1.0314815418922516
2,0.7,0.2,0.15,0.3,0.5393373298266222,0.38342027689181746,1.3378414783962427
3,0.4,0.1,0.1,0.2,0.539404688294492,0.559697313312112,1.0684677897641142
3,0.8,0.15,0.1,0.25,0.5394410480899152,0.6519970086963024,0.9564438026911702
4,0.5,0.3,0.1,0.25,0.5396620168755898,0.4606438789091458,1.3813549998386407
3,0.6,0.05,0.1,0.25,0.5397288861052743,0.5785209742099229,1.012379591046769
3,0.5,0.2,0.2,0.3,0.5397657203612657,0.5810030051045827,1.1698747238769243
4,0.5,0.25,0.15,0.3,0.5399545725954703,0.5466517520681992,1.2779579847265652
3,0.5,0.3,0.1,0.2,0.5400892683504895,0.5154579712661558,1.3787622966884834
4,0.7,0.2,0.1,0.25,0.5401224187860718,0.686063034251631,1.0925042754556884
4,0.7,0.15,0.15,0.3,0.5402249122899785,0.7274943364720685,1.0016206937408503
2,1.1,0.25,0.05,0.25,0.5402713255866054,0.34009661623160925,1.2720242167819635
2,0.8,0.25,0.1,0.25,0.5403084051749766,0.3431295639757975,1.3698587773037052
3,0.8,0.2,0.1,0.25,0.5403616041133462,0.5989437786424984,1.049163034674993
4,0.8,0.15,0.1,0.25,0.5404640323404283,0.676719526739339,0.9564438026911702
2,0.4,0.2,0.2,0.3,0.5404640913285687,0.43532699053334806,1.432600194776673
3,0.6,0.3,0.05,0.15,0.5405179984398604,0.5355668752808465,1.3325428312336423
4,0.8,0.3,0.05,0.25,0.5406635578371835,0.5609072684465171,1.2297652399396852
3,0.5,0.1,0.15,0.25,0.5407507572268967,0.663682566390832,0.9918612815580542
4,0.6,0.3,0.05,0.2,0.5407699049465621,0.4664174212068943,1.3325465085426416
3,1.1,0.3,0.05,0.25,0.5409520366853195,0.47537839944921506,1.1074650415552634
4,0.4,0.05,0.1,0.2,0.5410156530517647,0.5680829123067804,0.975723201622846
2,1.3,0.15,0.05,0.3,0.5410459409138867,0.33428686691829973,1.0665070029645507
2,0.4,0.05,0.15,0.2,0.5411896508633104,0.5328036732039355,0.9616374857377075
2,1.0,0.2,0.1,0.3,0.5412336374009699,0.33033507225789394,1.243421772540463
3,0.8,0.15,0.05,0.2,0.5412360874282217,0.6133860835999966,0.9801937827705485
3,0.5,0.25,0.2,0.3,0.541247199272902,0.5004829316002247,1.2651525580619112
3,0.8,0.25,0.1,0.25,0.5412821601367772,0.5458905485886946,1.1418822666588155
4,0.7,0.05,0.15,0.25,0.5413252652460027,0.6566291385531237,0.9223464164540762
2,0.8,0.3,0.1,0.3,0.5413442279509284,0.37109583003475655,1.5173154652205005
3,1.1,0.05,0.05,0.3,0.5414117690339331,0.6056125569350148,1.0993041150892053
3,1.2,0.1,0.05,0.3,0.5414226981054404,0.6337448539780726,1.0378536944866488
2,0.9,0.3,0.05,0.2,0.5414317168215204,0.34995263390111725,1.3963608585826777
4,0.4,0.2,0.15,0.25,0.5414340205408827,0.5593411896943806,1.2307493706296857
4,1.0,0.25,0.05,0.3,0.5414483842815981,0.6040118731648864,1.057455297986111
2,0.6,0.05,0.15,0.25,0.5414682089225837,0.5091469217329154,0.9571774070613631
4,0.6,0.2,0.15,0.3,0.5414873232720591,0.659300932994186,1.1371186341201456
3,0.4,0.05,0.15,0.25,0.5416004800200597,0.6030528537335533,0.9480482669999565
3,0.5,0.25,0.15,0.25,0.5416223637464307,0.5608186550864125,1.2733448820611055
4,0.9,0.05,0.1,0.25,0.5416598865319047,0.6260048525372388,1.0101305058830445
4,0.8,0.1,0.15,0.3,0.5418326450237279,0.7046648080074285,0.9078341193462177
2,1.2,0.3,0.05,0.3,0.5418569409051051,0.39021087491572926,1.4010823875329692
4,0.7,0.05,0.05,0.2,0.5419708480491479,0.6232109646260977,1.0807337170135465
3,0.8,0.3,0.1,0.25,0.5422027161602083,0.4928373185348903,1.2346014986426384
2,0.6,0.25,0.15,0.3,0.5422067625699093,0.34081225692607253,1.478206266992672
3,1.1,0.25,0.05,0.25,0.5423136244609084,0.5305866408039843,1.0156628367680989
2,0.5,0.1,0.2,0.3,0.542470833341489,0.5231110112900909,1.1637880550127975
4,0.4,0.1,0.2,0.25,0.5425106546711094,0.7329844559482919,1.020494951126241
3,0.5,0.3,0.15,0.25,0.5425629454929685,0.5001466327593747,1.367172748895456
4,0.6,0.25,0.1,0.25,0.5427213845140926,0.5696372553495065,1.2339664312848664
3,0.5,0.3,0.2,0.3,0.5427286781845386,0.41996285809586664,1.3604303922468985
3,0.5,0.15,0.05,0.15,0.5427443123375486,0.5431636529480094,1.122553939842455
4,0.8,0.25,0.1,0.3,0.5429018036574134,0.6192585742969708,1.1471145290490639
3,0.9,0.05,0.1,0.3,0.5430450869165028,0.6257991618321197,1.005600652224223
4,0.5,0.3,0.15,0.3,0.5430769527921449,0.5244779575089976,1.373235818911552
3,0.5,0.05,0.2,0.3,0.5430970409531292,0.70123251873005,0.884041221321964
2,0.8,0.05,0.15,0.3,0.54310973634359,0.5139646439336725,0.9540003475220026
2,1.3,0.2,0.05,0.3,0.5431641863122793,0.33214170151531264,1.1495367881485141
2,0.5,0.05,0.1,0.15,0.5431758500972182,0.5698749713501822,0.8790615403478796
2,0.7,0.05,0.1,0.2,0.5434124133404454,0.5287663434238467,0.8744504092857522
3,0.7,0.05,0.15,0.3,0.5434277630114837,0.6563013794785381,0.9133487686398263
3,0.6,0.2,0.1,0.2,0.5435256803521297,0.641736134400618,1.1397017482644956
2,0.4,0.1,0.15,0.2,0.5435504494769643,0.5161895230376676,1.086223524628077
3,1.0,0.1,0.1,0.3,0.5435558035676048,0.6615728807160128,0.9546676041353905
4,0.9,0.1,0.1,0.25,0.5436656554990478,0.6585459432551218,0.9468119041284992
3,1.1,0.2,0.05,0.25,0.5436752122364967,0.5857948821587539,0.9238606319809347
3,0.9,0.3,0.05,0.2,0.5437989399453212,0.513739879604606,1.1803294572884644
4,0.6,0.1,0.05,0.15,0.5438520489654596,0.6129642142418765,1.034900408730491
2,0.5,0.3,0.1,0.2,0.5439524128859231,0.35008795805316667,1.5163937333716575
2,0.8,0.05,0.05,0.15,0.5440038686963254,0.5675827546566424,0.8749431031762747
3,0.9,0.25,0.05,0.2,0.5441740409743984,0.5702527079545439,1.0890391512908235
2,0.6,0.1,0.15,0.25,0.544297799977715,0.5349032535111038,1.081126932258322
3,0.8,0.1,0.15,0.3,0.5443177065145659,0.6885780778754529,0.9078341193462177
2,0.5,0.1,0.1,0.15,0.5443739330483919,0.5307956035898481,1.0011542678812038
4,0.9,0.25,0.05,0.25,0.544412275126454,0.6514632425895115,1.092364269731907
3,0.8,0.15,0.15,0.3,0.5445088225273748,0.6381122843834688,0.9649277339649717
3,0.9,0.2,0.05,0.2,0.5445491420034752,0.6267655363044815,0.997748845293183
3,0.7,0.1,0.05,0.2,0.5445599215041502,0.5795429825441398,1.0570164962073119
4,0.9,0.2,0.1,0.3,0.5445994479117309,0.6895427205646851,1.0146031045066328
2,0.8,0.1,0.05,0.15,0.5446339919298175,0.5350616379200611,0.9090347296317657
3,1.3,0.2,0.05,0.3,0.5446596640308154,0.5465256363790137,1.0333078188958709
2,1.0,0.25,0.1,0.3,0.5447363580000636,0.3597020107566414,1.3651087881409325
4,0.4,0.25,0.1,0.2,0.5448353373165259,0.4797336089854527,1.3467015541879184
4,0.5,0.15,0.1,0.15,0.5449847390481278,0.6252050116081809,1.1050394591667674
4,0.4,0.3,0.05,0.15,0.5450920337569402,0.4942797464125189,1.4657792049395917
2,0.9,0.05,0.1,0.25,0.5451126579329435,0.5245454927667212,0.971688163381409
2,0.4,0.3,0.15,0.3,0.5451344674673969,0.35245172975317973,1.6424469324906723
2,0.7,0.1,0.1,0.2,0.5451569989664924,0.5418643213620594,0.996069775611186
2,0.8,0.15,0.05,0.15,0.5452641151633097,0.4997623084806052,1.0286013070503932
2,1.3,0.25,0.05,0.3,0.5452824317106719,0.3675779539250427,1.2691594063213663
3,0.6,0.15,0.1,0.2,0.5455642927656561,0.6444639809774688,1.0475807129526116
2,0.5,0.15,0.1,0.15,0.5455720159995656,0.5473291375770594,1.1232469954145272
3,0.6,0.25,0.1,0.2,0.5455846525860674,0.5873965654998151,1.2318227835763798
2,1.0,0.05,0.05,0.2,0.5455862991219794,0.5290810242189584,0.9939614294508007
4,0.5,0.05,0.1,0.2,0.5456153674633085,0.608988834834771,0.9842819418254201
4,0.5,0.1,0.15,0.2,0.5456491543246934,0.6640418885197041,0.9933027795158994
4,1.2,0.1,0.05,0.3,0.5457419087944314,0.6501299147268537,1.028008120298109
4,1.1,0.1,0.05,0.25,0.5457765550690609,0.6353593893264736,1.0446967022376814
3,1.1,0.15,0.05,0.25,0.5457955933324667,0.6410031235135234,0.984369186521813
3,1.3,0.25,0.05,0.3,0.5458669183964359,0.49257024378280273,1.000108634827191
2,0.8,0.2,0.05,0.15,0.5458942383968018,0.45143517390471755,1.1481678844690208
3,0.8,0.2,0.15,0.3,0.5458972136512132,0.5876464908914848,1.05885893475966
2,0.4,0.15,0.15,0.2,0.5459112480906181,0.5539559165672358,1.210809563518446
3,0.6,0.15,0.15,0.25,0.5460079188376528,0.6822076731120582,1.0398355706079672
4,0.5,0.05,0.2,0.25,0.5461268324183434,0.7020698536326434,0.9092013658027652
4,0.9,0.05,0.15,0.3,0.5462381423639271,0.6844903304347134,1.0447204756105817
2,0.8,0.1,0.15,0.3,0.5463151733559127,0.4723690937264391,1.0774097983380657
2,0.5,0.15,0.2,0.3,0.5463635347305053,0.48215641981322116,1.2903746484896166
4,1.0,0.1,0.05,0.2,0.5464330077164922,0.6182626952025747,1.0637019032860493
3,1.3,0.15,0.05,0.3,0.5465044138824475,0.6004810289752253,1.0665070029645507
2,0.8,0.25,0.05,0.15,0.5465243616302938,0.4031080393288301,1.267734461887647
3,0.8,0.3,0.15,0.3,0.5465583955891165,0.48671490390751704,1.2467213363490373
3,0.6,0.1,0.2,0.3,0.5465768479753803,0.7148265886227438,0.9414318746868453
4,0.7,0.2,0.05,0.15,0.5466889227372932,0.6299614663975962,1.0942080983517901
2,1.0,0.1,0.05,0.2,0.5467391141717947,0.4852283712189554,0.962421333010178
2,0.5,0.2,0.1,0.15,0.5467700989507391,0.5137615227968401,1.2453397229478507
3,0.8,0.25,0.15,0.3,0.5468177516019213,0.5371806973995009,1.1527901355543482
4,0.4,0.15,0.15,0.2,0.5468496755895828,0.6625892311154774,1.1376101626385648
2,0.7,0.15,0.1,0.2,0.5469015845925393,0.4976332917531628,1.1176891419366202
3,0.4,0.1,0.25,0.3,0.5469549197086481,0.6639183989070462,1.0011831396137796
3,1.3,0.3,0.05,0.3,0.547074172762056,0.4386148511865917,1.0519275922754845
4,1.1,0.05,0.05,0.25,0.5470977905231701,0.6059330781791314,1.1070955014207218
2,0.6,0.15,0.15,0.25,0.5471273910328464,0.4916262985654651,1.2050764574552815
2,0.8,0.3,0.05,0.15,0.5471544848637859,0.35903731412967094,1.3873010393062748
3,0.7,0.2,0.05,0.15,0.5472037036358283,0.6299614663975962,1.0942080983517901
3,1.0,0.1,0.05,0.25,0.5472401025998896,0.6181654940257912,1.0519832077153577
4,0.8,0.15,0.05,0.15,0.5472615312176059,0.6130224047894145,0.9947206865303874
2,0.9,0.1,0.1,0.25,0.5473074349265208,0.4805885856269219,0.9923167770627913
4,0.6,0.1,0.2,0.3,0.5473684584529784,0.747381216480847,0.9414318746868453
3,0.6,0.3,0.1,0.2,0.547643624820005,0.533056996599012,1.3239438188882644
3,0.6,0.05,0.05,0.2,0.547692123222701,0.5952923252526162,1.1353522459264433
4,0.4,0.1,0.1,0.15,0.5477046967220889,0.6002049078339048,1.0749352656065159
4,1.1,0.2,0.05,0.3,0.5478629833331135,0.6756053722318337,0.9286314518271462
2,1.0,0.15,0.05,0.2,0.5478919292216097,0.4387751215620444,1.0246215276201014
3,0.7,0.25,0.05,0.15,0.5479073123955881,0.6116442314988216,1.1848380838525983
4,0.8,0.3,0.1,0.3,0.5479464767841373,0.5830636254108235,1.241045729843753
4,0.4,0.2,0.2,0.3,0.5479517062295304,0.5946797253560865,1.212912953609946
2,0.5,0.25,0.1,0.15,0.5479681819019129,0.4661790760220653,1.367432450481175
3,0.4,0.1,0.05,0.15,0.5480531577782473,0.4756480722106952,1.100566970189864
4,0.5,0.15,0.2,0.3,0.5481544926101272,0.6711329528484615,1.0745968896919373
2,1.1,0.3,0.05,0.25,0.5481560196493581,0.3771047849591977,1.3918066939878893
2,0.7,0.3,0.1,0.25,0.5481950395125265,0.3574047768761823,1.5079950081160167
4,1.1,0.05,0.1,0.3,0.5482210174784641,0.6569382087902125,1.097078968803094
2,1.1,0.05,0.1,0.3,0.548249824417868,0.462728457439664,1.097078968803094
2,0.4,0.2,0.15,0.2,0.5482720467042722,0.510155202254703,1.3353956024088154
3,0.5,0.1,0.1,0.2,0.5484782415584765,0.5833424527652393,1.0090534078759377
4,0.8,0.05,0.05,0.2,0.5484848275841265,0.6190419531357495,1.0969990329881822
3,0.6,0.2,0.15,0.25,0.5485374644507504,0.6305182762589301,1.1332745809580749
3,0.9,0.05,0.05,0.25,0.5485759042622943,0.5822663607062375,1.1213165251484387
3,0.7,0.3,0.05,0.15,0.5486109211553477,0.5537727860825188,1.275468069353406
2,0.7,0.2,0.1,0.2,0.5486461702185863,0.4519013637677866,1.2393085082620534
2,1.2,0.05,0.05,0.25,0.5487025268019208,0.48066295899808525,1.1205848949647477
2,0.5,0.25,0.15,0.25,0.548816559429538,0.3993465687084606,1.4690658911329237
4,0.7,0.05,0.2,0.3,0.5489336441306982,0.723930250025457,0.9797629953647845
4,0.6,0.3,0.1,0.25,0.5489759525243902,0.5451193351879072,1.3274054416349736
3,0.4,0.2,0.1,0.15,0.5490004760412219,0.574999833599176,1.2575413829813797
3,0.6,0.15,0.2,0.3,0.5490075025742409,0.6656581134013542,1.0362362356935486
3,0.4,0.15,0.25,0.3,0.549013315570082,0.5829671062982325,1.096957261065453
2,1.0,0.2,0.05,0.2,0.5490447442714249,0.39232187190513396,1.1439432407309507
4,0.6,0.25,0.05,0.15,0.549211683913682,0.568698742471374,1.2416956909657073
4,0.7,0.15,0.1,0.2,0.5493346126737512,0.6617757675189783,0.9989729170440997
2,0.9,0.15,0.1,0.25,0.5495022119200982,0.43663167848712303,1.113550924379457
2,0.8,0.15,0.15,0.3,0.5495206103682353,0.4307735435192052,1.200819249154129
3,0.4,0.15,0.15,0.2,0.5495443050261876,0.6625892311154774,1.1376101626385648
4,1.0,0.2,0.05,0.25,0.5496873733651915,0.6799706978285276,0.9599473789420643
4,0.6,0.15,0.15,0.25,0.5496979007119953,0.7176169315362247,1.0398355706079672
4,0.4,0.2,0.1,0.15,0.5497183566836521,0.574999833599176,1.2575413829813797
4,0.7,0.1,0.05,0.15,0.5497381762342213,0.6087155092521203,1.0510908153560592
3,1.1,0.3,0.1,0.3,0.5497510556552603,0.4719831175603549,1.1340898927291798
3,0.8,0.1,0.1,0.25,0.5498189623075637,0.6423586621806399,0.9538273785522825
3,0.6,0.2,0.2,0.3,0.5499106729988765,0.5949008210097757,1.131040596700252
4,0.8,0.25,0.05,0.2,0.5499374990146122,0.6694495661540507,1.1344212828197204
2,0.6,0.2,0.15,0.25,0.5499569820879775,0.4483493436198263,1.3290259826522401
4,0.7,0.1,0.15,0.25,0.5500317006692494,0.6930124134442434,0.9054332666587428
4,0.4,0.1,0.25,0.3,0.5501865764253543,0.6578915647867271,1.0011831396137796
2,1.0,0.25,0.05,0.2,0.55019755932124,0.34586862224822323,1.2632649538418
2,0.4,0.3,0.1,0.15,0.5502223280896055,0.41287562953130663,1.5073020154882102
2,1.2,0.1,0.05,0.25,0.5502792835467624,0.4303361755182324,1.0873993095115917
4,0.6,0.2,0.1,0.2,0.5503591193561506,0.6758892591530739,1.1397017482644956
2,0.7,0.25,0.1,0.2,0.5503907558446333,0.40616943578241066,1.3609278745874869
3,0.6,0.25,0.15,0.25,0.5504508109038339,0.5788288794058026,1.2267135913081826
4,0.6,0.25,0.15,0.3,0.5504734012092117,0.6253676860681473,1.2319229951268482
4,0.7,0.3,0.05,0.2,0.5505829048974266,0.5512209869614331,1.2765474387592126
3,1.1,0.25,0.1,0.3,0.5506016891654674,0.5244988212119489,1.0412715374270494
3,0.7,0.05,0.1,0.25,0.5506780445016087,0.5882906538792225,1.0251496635198476
2,1.1,0.1,0.1,0.3,0.5507991385026663,0.4204742830384592,1.0670640759657992
3,0.6,0.3,0.15,0.25,0.5508101448782633,0.5147757497718033,1.3201526016582903
3,0.6,0.25,0.2,0.3,0.5508138434235121,0.5148327572019544,1.2258449577069546
4,1.0,0.15,0.1,0.3,0.5510302024609082,0.7027438189117348,0.926128944707452
3,0.4,0.2,0.25,0.3,0.5510717114315162,0.5020158136894188,1.1927313825171268
2,0.4,0.05,0.2,0.25,0.551133953421536,0.5012474452730634,1.0293854293991878
3,0.4,0.05,0.1,0.2,0.5511627044579449,0.5680829123067804,1.0373341047555535
4,0.5,0.05,0.25,0.3,0.5512543369394926,0.7336405653467907,0.9054879726525248
3,0.6,0.1,0.15,0.25,0.5513033759144249,0.6789847244144757,0.9463965602578603
4,0.6,0.05,0.1,0.2,0.5514145067588514,0.60481770346578,0.9995526340949764
3,1.1,0.2,0.1,0.3,0.5514523226756741,0.5770145248635424,1.0070342902912093
4,0.4,0.25,0.2,0.3,0.5515337815172762,0.5336915189595479,1.308687075061619
3,0.6,0.15,0.05,0.15,0.5515554847427635,0.5730737927833587,1.0600014104298365
3,0.9,0.15,0.1,0.25,0.5516127096113893,0.6719315917555522,0.917690794880527
2,0.9,0.2,0.1,0.25,0.5516969889136756,0.392674771347324,1.2347850716961224
3,0.6,0.3,0.2,0.3,0.5517170138481478,0.43476469339413365,1.3206493187136572
3,0.9,0.2,0.1,0.25,0.5517579334702918,0.6181749265673331,1.010081759025949
2,0.5,0.2,0.2,0.3,0.5517660240262585,0.44120182833635174,1.4169612419664366
4,0.8,0.1,0.1,0.2,0.5517762373933657,0.6425170621649948,0.9633383851082746
3,0.5,0.05,0.15,0.25,0.5517971239982056,0.6225481842589758,0.9304250951941727
2,1.2,0.15,0.05,0.25,0.5518560402916038,0.3803738183369071,1.054213724058435
3,0.4,0.15,0.2,0.25,0.5518645398958673,0.675694720365546,1.114728652336151
3,0.9,0.25,0.1,0.25,0.5519031573291944,0.5644182613791142,1.1024727231713716
4,0.4,0.25,0.15,0.25,0.551941325306495,0.5371785818937016,1.324983071839596
4,0.9,0.2,0.05,0.2,0.5519774170178802,0.6655818958177921,0.997748845293183
3,0.9,0.3,0.1,0.25,0.5520483811880968,0.5106615961908954,1.1948636873167937
2,0.6,0.05,0.2,0.3,0.5521094532282764,0.5328189515355181,1.0263563360403978
3,0.4,0.1,0.2,0.25,0.5522752968953414,0.7329844559482919,1.020494951126241
3,1.1,0.15,0.1,0.3,0.5523029561858812,0.6295302285151365,1.0370491831285042
3,0.9,0.15,0.05,0.2,0.5523269042796158,0.6323811720308585,0.994967337565054
3,0.4,0.25,0.1,0.15,0.552339174987009,0.5505063639891489,1.3488444416688121
3,1.2,0.3,0.05,0.25,0.5523784190054349,0.493680447704936,1.074447495379533
4,0.5,0.2,0.15,0.25,0.5523967746596272,0.6492609524257023,1.179517015226755
4,0.4,0.3,0.1,0.2,0.5524552777646534,0.45158836730092083,1.4394461423291867
4,1.0,0.05,0.1,0.25,0.552527606313473,0.6424756479607382,1.0848874230360186
3,0.4,0.05,0.25,0.3,0.5525580818309066,0.74486969151586,0.9054090181621066
4,0.4,0.05,0.15,0.2,0.5527000894635754,0.6019882465388102,0.9521209863560285
2,0.8,0.2,0.15,0.3,0.5527260473805582,0.3891779933119716,1.3242286999701922
2,0.9,0.3,0.1,0.3,0.5527331758943144,0.3844664418688584,1.5013554755427951
4,0.5,0.1,0.1,0.15,0.5527779576843465,0.595980729647032,1.013967061216564
4,1.0,0.3,0.05,0.3,0.5530385292398579,0.5670242291889467,1.150617651308915
3,0.4,0.25,0.25,0.3,0.5531301072929504,0.42106452108060494,1.2885055039687998
4,0.6,0.3,0.15,0.3,0.5531347598136763,0.5651313441933669,1.3267273561335515
4,0.8,0.2,0.1,0.25,0.5531898442157338,0.7110803912980382,1.049163034674993
2,1.4,0.05,0.05,0.3,0.5533300536601363,0.4306167635997656,1.2553024077488966
3,0.4,0.2,0.15,0.2,0.553347789973588,0.6392903221143058,1.2303547507798323
2,1.1,0.15,0.1,0.3,0.5533484525874642,0.37822010863725436,1.1107691486866973
4,0.5,0.3,0.05,0.15,0.5533648103986228,0.48877174909684706,1.3957711336930652
3,0.4,0.2,0.2,0.25,0.5533840696517428,0.5892154971429763,1.2089623535460612
2,1.2,0.2,0.05,0.25,0.5534327970364452,0.33571820787901485,1.141095698679223
2,0.7,0.25,0.15,0.3,0.5535874650987586,0.3529298978504445,1.462226835480378
3,0.7,0.2,0.1,0.2,0.553745134008364,0.6611250847819378,1.090801211307688
4,0.7,0.2,0.15,0.3,0.5537740961483248,0.7012018267706153,1.0959758121807726
4,0.7,0.25,0.1,0.25,0.5538180344682971,0.6602756396000634,1.1855732465861797
2,0.9,0.25,0.1,0.25,0.553891765907253,0.3487178642075249,1.3560192190127873
3,1.0,0.3,0.05,0.2,0.554124027095611,0.5321846580855639,1.1391753087782253
2,1.0,0.3,0.05,0.2,0.5541373319904292,0.36368806775980467,1.382586666952649
2,0.5,0.05,0.15,0.2,0.55433742379894,0.5230566505101037,0.9497147051594337
2,0.4,0.1,0.2,0.25,0.5544070706098839,0.539013838802632,1.1555483230735624
4,0.8,0.15,0.15,0.3,0.554439446618655,0.7383260031304973,0.9649277339649717
3,1.2,0.25,0.05,0.25,0.5544766717523012,0.5496375217387556,0.9878425531521225
4,0.5,0.25,0.1,0.2,0.5545003597099825,0.56003852488596,1.2863350744853468
2,0.5,0.3,0.15,0.3,0.5545536784261245,0.3664009627911056,1.622234321965764
3,0.6,0.05,0.2,0.3,0.5546451363118898,0.7130549674914762,0.8721610570779265
2,0.6,0.3,0.1,0.2,0.5547697310904484,0.35490024795623054,1.498731672658109
3,1.2,0.05,0.05,0.3,0.55482871143735,0.6189656268318553,1.1147353343390716
3,0.4,0.25,0.2,0.25,0.5549035994076181,0.5027362739204061,1.3031960547559711
3,0.7,0.25,0.1,0.2,0.5549719057270602,0.6060760630635643,1.1826295055712763
2,1.2,0.25,0.05,0.25,0.5550095537812869,0.35399805480359464,1.260249608191749
4,0.4,0.3,0.15,0.25,0.5550915467425402,0.515015974093022,1.4192167730495058
4,0.4,0.3,0.2,0.3,0.5551158568050216,0.47270331256300885,1.404461196513292
2,0.4,0.25,0.15,0.2,0.5551723898173122,0.4651252599183227,1.4599816412991846
3,0.4,0.3,0.25,0.3,0.5551885031543844,0.3850808683346369,1.3842796254204728
2,1.3,0.3,0.05,0.3,0.555216720102882,0.4030142063347728,1.3887820244942186
2,1.4,0.1,0.05,0.3,0.5552322348208268,0.3753114893492295,1.2203871942423064
3,1.3,0.1,0.05,0.3,0.555236432813873,0.6544364215714366,1.099706187033231
3,0.8,0.1,0.05,0.2,0.5552667494138444,0.5782836075800446,1.0706953439077513
3,1.0,0.25,0.05,0.2,0.5552750270991654,0.5894525337173907,1.0481274881318652
4,0.9,0.15,0.1,0.25,0.5554491155392447,0.6910870339730047,0.917690794880527
2,0.7,0.05,0.15,0.25,0.5554492816632393,0.5256780188482392,0.9464073070498588
3,0.4,0.3,0.1,0.15,0.5556778739327959,0.5260128943791218,1.4401475003562438
3,0.8,0.05,0.15,0.3,0.555757483314963,0.6710036128843595,0.9336336316629394
2,0.6,0.1,0.2,0.3,0.5557682136856126,0.5294605831579511,1.15179933317595
2,1.1,0.2,0.1,0.3,0.5558977666722625,0.3362625564460444,1.2317022240489142
3,0.7,0.15,0.1,0.2,0.5559870359652632,0.6617757675189783,0.9989729170440997
3,1.0,0.05,0.1,0.3,0.556000601212829,0.6420442201628166,1.0200511461092923
4,0.9,0.05,0.05,0.2,0.5561522211212728,0.6147436800318129,1.1137962697561794
3,0.7,0.3,0.1,0.2,0.5561986774457568,0.5510270413451909,1.274457799834864
3,0.4,0.25,0.15,0.2,0.5563396925130684,0.5938447600612983,1.3230993389211008
3,0.4,0.3,0.2,0.25,0.5564231291634936,0.4162570506978361,1.3974297559658804
