参考市场数量k,结构价格弹性系数alpha,GDP对数敏感系数gamma1,人口对数敏感系数gamma2,层级溢价强度eta,平均相对误差,中位相对误差,最大相对误差
4,0.4,0.15,0.1,0.3,0.4699664412141416,0.49867515289733017,1.1575019743439119
3,0.4,0.05,0.05,0.3,0.47039782665970914,0.4339403489555179,1.0077046704057153
3,0.6,0.2,0.05,0.3,0.47060575576973285,0.4200116083311061,1.1492747089599333
4,0.5,0.05,0.05,0.3,0.47066740188249706,0.46571717526498024,0.9685749983302209
2,0.4,0.1,0.05,0.2,0.4708946287260514,0.4479621957038755,0.9883068665821971
3,0.5,0.3,0.05,0.3,0.4709176053179893,0.30632919704963774,1.3988466722408583
2,0.5,0.1,0.1,0.3,0.4716236989509712,0.4548622654120301,1.067987841104177
4,0.6,0.2,0.05,0.3,0.471638974051451,0.47488215427604646,1.1492747089599333
4,0.4,0.2,0.05,0.25,0.4720639185901258,0.5111587565453534,1.2743234047969367
2,0.6,0.15,0.05,0.25,0.472418899003321,0.4531092252325031,1.10231066857584
2,0.8,0.15,0.05,0.3,0.47267598012200146,0.40068474362621403,1.0933549763904926
2,0.4,0.15,0.05,0.2,0.4732554273397053,0.4029322533674952,1.112892905472566
3,0.6,0.25,0.05,0.3,0.4735732953624637,0.37084313310971645,1.244079069966637
2,0.4,0.3,0.05,0.25,0.47379549849949015,0.31891964391930194,1.5179521035855694
4,0.6,0.05,0.05,0.3,0.4739783213399284,0.49465934885338114,0.9837040439905522
4,0.4,0.1,0.05,0.25,0.47522816686867464,0.47494873052889963,1.0858560023771169
2,0.6,0.2,0.05,0.25,0.47524849005845204,0.40897514346463415,1.2262601937727993
2,0.5,0.15,0.1,0.3,0.4755164003399874,0.40945851776390235,1.1945744345809965
2,0.4,0.2,0.05,0.2,0.47561622595335934,0.35790231103111514,1.2374789443629353
2,0.8,0.2,0.05,0.3,0.47588141713432425,0.35222569683239596,1.2167644272065563
3,0.6,0.1,0.05,0.3,0.47632151969687847,0.5183485587738857,0.9596659869465273
3,0.7,0.15,0.05,0.3,0.4765246516332491,0.48677587456458554,1.001493821704772
3,0.6,0.3,0.05,0.3,0.4765408349551941,0.3268693531677966,1.3388834309733393
2,0.6,0.3,0.05,0.3,0.4766346404849188,0.3067496890588606,1.503805148948356
4,0.6,0.15,0.05,0.25,0.4769601522725862,0.536375879571257,1.054341250561336
3,0.4,0.2,0.05,0.25,0.4773046747281491,0.4582689121591513,1.2743234047969367
4,0.5,0.25,0.05,0.3,0.47751227349756475,0.44330676688532006,1.3035688380558725
4,0.6,0.1,0.1,0.3,0.4775201092323706,0.563051644336809,0.9535879495266336
4,0.5,0.1,0.05,0.25,0.47783211981110923,0.5046392276434968,1.0202257834444235
3,0.4,0.15,0.1,0.3,0.4778812777211121,0.4958470714144662,1.1575019743439119
2,0.4,0.25,0.05,0.2,0.4779770245670133,0.33588207541889264,1.3620649832533047
2,0.6,0.25,0.05,0.25,0.4780780811135835,0.36484106169676533,1.3502097189697584
3,0.5,0.05,0.05,0.3,0.47814705767167254,0.46571717526498024,1.01914392680557
4,0.7,0.05,0.05,0.3,0.47834440394872707,0.526251435514294,0.9993380148231601
