country_region,国家地区,是否参赛,媒体竞购强度,比赛时段友好度,广播商数量,参赛因子,竞购因子,时差因子,权利结构因子,动态修正总因子
United_States,美国,1,4,0.8599999999999999,2,1.1,1.24,0.951,1.04,1.2559828597845786
Japan,日本,1,3,0.22,1,1.1,1.16,0.727,1.0,0.8636555562786943
United_Kingdom,英国,1,2,0.66,1,1.1,1.08,0.881,1.0,0.9744236928900679
Germany,德国,1,3,0.5800000000000001,2,1.1,1.16,0.853,1.04,1.0538736135982878
South_Korea,韩国,1,1,0.22,1,1.1,1.0,0.727,1.0,0.7445306519643916
Brazil,巴西,1,3,0.92,1,1.1,1.16,0.972,1.0,1.1547086667164936
Hong_Kong,中国香港,0,1,0.14,1,0.95,1.0,0.6990000000000001,1.0,0.6900937228861023
Australia,澳大利亚,1,1,0.45999999999999996,1,1.1,1.0,0.8109999999999999,1.0,0.8305562018474849
Vietnam,越南,0,1,0.22,1,0.95,1.0,0.727,1.0,0.7177369621433424
