国家地区,历史观赛代理值,球迷人数,人均GDP,足球热度指数,历史转播权价格
美国,0.5023396552032766,0.8866884023779951,1.0,0.450743240374122,1.0
日本,0.722612386821836,0.46661107904531035,0.6659261784220992,0.3413975957448413,0.9809462824974857
英国,0.9416943239554582,0.5907241962495952,0.8314470686568033,0.8429734891971921,0.7636074347025199
德国,0.5873032920834821,0.6274209241662502,0.846853712653122,0.7567107271879495,0.7508455025599745
韩国,0.34139043319822016,0.4477134428661454,0.7032850423388505,0.3901596838825572,0.7306802597432811
巴西,1.0,1.0,0.269457200463793,1.0,0.7934234147007282
中国香港,0.0,0.0,0.8411455526266689,0.05609026758730572,0.1817085390364467
澳大利亚,0.13484308887401028,0.12256198539119131,0.9091473679761329,0.0,0.0633747848607545
越南,0.604481512078695,0.9511502482160815,0.0,0.4416962602816422,0.0
